Date,anomaly_score_AT,prediction_AT,recon_close_AT,recon_log_ret_AT,anomaly_score_TranAD,prediction_TranAD,recon_close_TranAD,recon_log_ret_TranAD
2015-01-02,,,,,,,,
2015-01-05,,,,,,,,
2015-01-06,,,,,,,,
2015-01-07,,,,,,,,
2015-01-08,,,,,,,,
2015-01-09,,,,,,,,
2015-01-12,,,,,,,,
2015-01-13,,,,,,,,
2015-01-14,,,,,,,,
2015-01-15,,,,,,,,
2015-01-16,,,,,,,,
2015-01-20,,,,,,,,
2015-01-21,,,,,,,,
2015-01-22,,,,,,,,
2015-01-23,,,,,,,,
2015-01-26,,,,,,,,
2015-01-27,,,,,,,,
2015-01-28,,,,,,,,
2015-01-29,,,,,,,,
2015-01-30,,,,,,,,
2015-02-02,,,,,,,,
2015-02-03,,,,,,,,
2015-02-04,,,,,,,,
2015-02-05,,,,,,,,
2015-02-06,,,,,,,,
2015-02-09,,,,,,,,
2015-02-10,,,,,,,,
2015-02-11,,,,,,,,
2015-02-12,,,,,,,,
2015-02-13,,,,,,,,
2015-02-17,,,,,,,,
2015-02-18,,,,,,,,
2015-02-19,,,,,,,,
2015-02-20,,,,,,,,
2015-02-23,,,,,,,,
2015-02-24,,,,,,,,
2015-02-25,,,,,,,,
2015-02-26,,,,,,,,
2015-02-27,,,,,,,,
2015-03-02,,,,,,,,
2015-03-03,,,,,,,,
2015-03-04,,,,,,,,
2015-03-05,,,,,,,,
2015-03-06,,,,,,,,
2015-03-09,,,,,,,,
2015-03-10,,,,,,,,
2015-03-11,,,,,,,,
2015-03-12,,,,,,,,
2015-03-13,,,,,,,,
2015-03-16,,,,,,,,
2015-03-17,,,,,,,,
2015-03-18,,,,,,,,
2015-03-19,,,,,,,,
2015-03-20,,,,,,,,
2015-03-23,,,,,,,,
2015-03-24,,,,,,,,
2015-03-25,,,,,,,,
2015-03-26,,,,,,,,
2015-03-27,,,,,,,,
2015-03-30,,,,,,,,
2015-03-31,,,,,,,,
2015-04-01,,,,,,,,
2015-04-02,,,,,,,,
2015-04-06,,,,,,,,
2015-04-07,,,,,,,,
2015-04-08,,,,,,,,
2015-04-09,,,,,,,,
2015-04-10,,,,,,,,
2015-04-13,,,,,,,,
2015-04-14,,,,,,,,
2015-04-15,,,,,,,,
2015-04-16,,,,,,,,
2015-04-17,,,,,,,,
2015-04-20,,,,,,,,
2015-04-21,,,,,,,,
2015-04-22,,,,,,,,
2015-04-23,,,,,,,,
2015-04-24,0.0,0.0,28.39885139465332,0.026921236887574196,,,,
2015-04-27,0.0,0.0,28.06883430480957,-0.01168882381170988,,,,
2015-04-28,0.0,0.0,28.01041603088379,-0.0020834256429225206,,,,
2015-04-29,0.0,0.0,27.89496421813965,-0.004130160436034203,,,,
2015-04-30,0.0,0.0,27.324676513671875,-0.020656131207942963,,,,
2015-05-01,0.0,0.0,27.445571899414062,0.004414733964949846,,,,
2015-05-04,0.0,0.0,27.5308895111084,0.0031037144362926483,,,,
2015-05-05,0.0,0.0,27.101194381713867,-0.01573079638183117,,,,
2015-05-06,0.0,0.0,26.74635124206543,-0.013179713860154152,,,,
2015-05-07,0.0,0.0,27.065019607543945,0.011844086460769176,,,,
2015-05-08,0.0,0.0,27.385156631469727,0.011759039014577866,,,,
2015-05-11,0.0,0.0,27.256914138793945,-0.004693945869803429,,,,
2015-05-12,0.0,0.0,26.953092575073242,-0.011209255084395409,,,,
2015-05-13,0.0,0.0,27.002845764160156,0.0018442253349348903,,,,
2015-05-14,0.0,0.0,27.448810577392578,0.016380630433559418,,,,
2015-05-15,0.0,0.0,27.335784912109375,-0.004126184619963169,,,,
2015-05-18,0.0,0.0,27.363645553588867,0.0010186083381995559,,,,
2015-05-19,0.0,0.0,27.490610122680664,0.004629254806786776,,,,
2015-05-20,0.0,0.0,27.639427185058594,0.005398773122578859,0.000789828016422689,0.0,27.397335052490234,0.0058006905019283295
