Date,anomaly_score_AT,prediction_AT,recon_close_AT,recon_log_ret_AT,anomaly_score_TranAD,prediction_TranAD,recon_close_TranAD,recon_log_ret_TranAD
2015-01-02,,,,,,,,
2015-01-05,,,,,,,,
2015-01-06,,,,,,,,
2015-01-07,,,,,,,,
2015-01-08,,,,,,,,
2015-01-09,,,,,,,,
2015-01-12,,,,,,,,
2015-01-13,,,,,,,,
2015-01-14,,,,,,,,
2015-01-15,,,,,,,,
2015-01-16,,,,,,,,
2015-01-20,,,,,,,,
2015-01-21,,,,,,,,
2015-01-22,,,,,,,,
2015-01-23,,,,,,,,
2015-01-26,,,,,,,,
2015-01-27,,,,,,,,
2015-01-28,,,,,,,,
2015-01-29,,,,,,,,
2015-01-30,,,,,,,,
2015-02-02,,,,,,,,
2015-02-03,,,,,,,,
2015-02-04,,,,,,,,
2015-02-05,,,,,,,,
2015-02-06,,,,,,,,
2015-02-09,,,,,,,,
2015-02-10,,,,,,,,
2015-02-11,,,,,,,,
2015-02-12,,,,,,,,
2015-02-13,,,,,,,,
2015-02-17,,,,,,,,
2015-02-18,,,,,,,,
2015-02-19,,,,,,,,
2015-02-20,,,,,,,,
2015-02-23,,,,,,,,
2015-02-24,,,,,,,,
2015-02-25,,,,,,,,
2015-02-26,,,,,,,,
2015-02-27,,,,,,,,
2015-03-02,,,,,,,,
2015-03-03,,,,,,,,
2015-03-04,,,,,,,,
2015-03-05,,,,,,,,
2015-03-06,,,,,,,,
2015-03-09,,,,,,,,
2015-03-10,,,,,,,,
2015-03-11,,,,,,,,
2015-03-12,,,,,,,,
2015-03-13,,,,,,,,
2015-03-16,,,,,,,,
2015-03-17,,,,,,,,
2015-03-18,,,,,,,,
2015-03-19,,,,,,,,
2015-03-20,,,,,,,,
2015-03-23,,,,,,,,
2015-03-24,,,,,,,,
2015-03-25,,,,,,,,
2015-03-26,,,,,,,,
2015-03-27,,,,,,,,
2015-03-30,,,,,,,,
2015-03-31,,,,,,,,
2015-04-01,,,,,,,,
2015-04-02,,,,,,,,
2015-04-06,,,,,,,,
2015-04-07,,,,,,,,
2015-04-08,,,,,,,,
2015-04-09,,,,,,,,
2015-04-10,,,,,,,,
2015-04-13,,,,,,,,
2015-04-14,,,,,,,,
2015-04-15,,,,,,,,
2015-04-16,,,,,,,,
2015-04-17,,,,,,,,
2015-04-20,,,,,,,,
2015-04-21,,,,,,,,
2015-04-22,,,,,,,,
2015-04-23,,,,,,,,
2015-04-24,0.0,0.0,0.5313502550125122,-0.007189146243035793,,,,
2015-04-27,0.0,0.0,0.535145103931427,0.007116424851119518,,,,
2015-04-28,0.0,0.0,0.5377408266067505,0.004838926717638969,,,,
2015-04-29,0.0,0.0,0.5344103574752808,-0.006212794221937656,,,,
2015-04-30,0.0,0.0,0.5358532071113586,0.002696311566978693,,,,
2015-05-01,0.0,0.0,0.547893226146698,0.02222013846039772,,,,
2015-05-04,0.0,0.0,0.545171320438385,-0.004980452824383974,,,,
2015-05-05,0.0,0.0,0.5325173139572144,-0.023484554141759872,,,,
2015-05-06,0.0,0.0,0.534147322177887,0.0030562886968255043,,,,
2015-05-07,1.0191626299595376e-29,0.0,0.5431055426597595,0.016632042825222015,,,,
2015-05-08,3.537899072553023e-14,0.0,0.5061458349227905,-0.07047891616821289,,,,
2015-05-11,4.484155085839415e-44,0.0,0.5018121600151062,-0.008598977699875832,,,,
2015-05-12,0.0,0.0,0.5062012672424316,0.00870847050100565,,,,
2015-05-13,0.0,0.0,0.5088205337524414,0.005161017645150423,,,,
2015-05-14,0.0,0.0,0.5163299441337585,0.014650678262114525,,,,
2015-05-15,0.0,0.0,0.5166372656822205,0.0005949964397586882,,,,
2015-05-18,0.0,0.0,0.5161482095718384,-0.0009470086661167443,,,,
2015-05-19,0.0,0.0,0.5133543610572815,-0.005427650175988674,,,,
2015-05-20,0.0,0.0,0.5134669542312622,0.00021925842156633735,0.00036025710869580507,0.0,0.5091736912727356,0.00012769800378009677
