Date,anomaly_score_AT,prediction_AT,recon_close_AT,recon_log_ret_AT,anomaly_score_TranAD,prediction_TranAD,recon_close_TranAD,recon_log_ret_TranAD
2015-01-02,,,,,,,,
2015-01-05,,,,,,,,
2015-01-06,,,,,,,,
2015-01-07,,,,,,,,
2015-01-08,,,,,,,,
2015-01-09,,,,,,,,
2015-01-12,,,,,,,,
2015-01-13,,,,,,,,
2015-01-14,,,,,,,,
2015-01-15,,,,,,,,
2015-01-16,,,,,,,,
2015-01-20,,,,,,,,
2015-01-21,,,,,,,,
2015-01-22,,,,,,,,
2015-01-23,,,,,,,,
2015-01-26,,,,,,,,
2015-01-27,,,,,,,,
2015-01-28,,,,,,,,
2015-01-29,,,,,,,,
2015-01-30,,,,,,,,
2015-02-02,,,,,,,,
2015-02-03,,,,,,,,
2015-02-04,,,,,,,,
2015-02-05,,,,,,,,
2015-02-06,,,,,,,,
2015-02-09,,,,,,,,
2015-02-10,,,,,,,,
2015-02-11,,,,,,,,
2015-02-12,,,,,,,,
2015-02-13,,,,,,,,
2015-02-17,,,,,,,,
2015-02-18,,,,,,,,
2015-02-19,,,,,,,,
2015-02-20,,,,,,,,
2015-02-23,,,,,,,,
2015-02-24,,,,,,,,
2015-02-25,,,,,,,,
2015-02-26,,,,,,,,
2015-02-27,,,,,,,,
2015-03-02,,,,,,,,
2015-03-03,,,,,,,,
2015-03-04,,,,,,,,
2015-03-05,,,,,,,,
2015-03-06,,,,,,,,
2015-03-09,,,,,,,,
2015-03-10,,,,,,,,
2015-03-11,,,,,,,,
2015-03-12,,,,,,,,
2015-03-13,,,,,,,,
2015-03-16,,,,,,,,
2015-03-17,,,,,,,,
2015-03-18,,,,,,,,
2015-03-19,,,,,,,,
2015-03-20,,,,,,,,
2015-03-23,,,,,,,,
2015-03-24,,,,,,,,
2015-03-25,,,,,,,,
2015-03-26,,,,,,,,
2015-03-27,,,,,,,,
2015-03-30,,,,,,,,
2015-03-31,,,,,,,,
2015-04-01,,,,,,,,
2015-04-02,,,,,,,,
2015-04-06,,,,,,,,
2015-04-07,,,,,,,,
2015-04-08,,,,,,,,
2015-04-09,,,,,,,,
2015-04-10,,,,,,,,
2015-04-13,,,,,,,,
2015-04-14,,,,,,,,
2015-04-15,,,,,,,,
2015-04-16,,,,,,,,
2015-04-17,,,,,,,,
2015-04-20,,,,,,,,
2015-04-21,,,,,,,,
2015-04-22,,,,,,,,
2015-04-23,,,,,,,,
2015-04-24,0.0,0.0,14.571711540222168,-0.00011118411930510774,,,,
2015-04-27,0.0,0.0,15.38503360748291,0.05431298539042473,,,,
2015-04-28,0.0,0.0,15.324698448181152,-0.00392935099080205,,,,
2015-04-29,8.407790785948902e-45,0.0,15.449569702148438,0.008115394040942192,,,,
2015-04-30,7.4490452530234485e-34,0.0,15.0633544921875,-0.025316180661320686,,,,
2015-05-01,1.411634542418726e-24,0.0,15.061674118041992,-0.00011160053691128269,,,,
2015-05-04,1.1964234267131187e-24,0.0,15.33906364440918,0.01824929006397724,,,,
2015-05-05,1.5980296144973092e-23,0.0,15.486881256103516,0.009590609930455685,,,,
2015-05-06,3.0329123467034856e-28,0.0,15.33386516571045,-0.009929519146680832,,,,
2015-05-07,1.1820711006558161e-29,0.0,15.735033988952637,0.02582584321498871,,,,
2015-05-08,6.685758200126151e-34,0.0,15.728788375854492,-0.0003968766250181943,,,,
2015-05-11,5.895974499034382e-39,0.0,15.903914451599121,0.011072532273828983,,,,
2015-05-12,5.896215522370246e-40,0.0,16.2238826751709,0.01991909183561802,,,,
2015-05-13,2.0132455036954647e-41,0.0,16.13034439086914,-0.005782146472483873,,,,
2015-05-14,8.955838615346338e-41,0.0,16.192176818847656,0.0038260139990597963,,,,
2015-05-15,1.401298464324817e-45,0.0,16.48158836364746,0.017715686932206154,,,,
2015-05-18,1.401298464324817e-45,0.0,16.485992431640625,0.00026728169177658856,,,,
2015-05-19,0.0,0.0,16.39618492126465,-0.005462553817778826,,,,
