Date,anomaly_score_AT,prediction_AT,recon_close_AT,recon_log_ret_AT,anomaly_score_TranAD,prediction_TranAD,recon_close_TranAD,recon_log_ret_TranAD
2015-01-02,,,,,,,,
2015-01-05,,,,,,,,
2015-01-06,,,,,,,,
2015-01-07,,,,,,,,
2015-01-08,,,,,,,,
2015-01-09,,,,,,,,
2015-01-12,,,,,,,,
2015-01-13,,,,,,,,
2015-01-14,,,,,,,,
2015-01-15,,,,,,,,
2015-01-16,,,,,,,,
2015-01-20,,,,,,,,
2015-01-21,,,,,,,,
2015-01-22,,,,,,,,
2015-01-23,,,,,,,,
2015-01-26,,,,,,,,
2015-01-27,,,,,,,,
2015-01-28,,,,,,,,
2015-01-29,,,,,,,,
2015-01-30,,,,,,,,
2015-02-02,,,,,,,,
2015-02-03,,,,,,,,
2015-02-04,,,,,,,,
2015-02-05,,,,,,,,
2015-02-06,,,,,,,,
2015-02-09,,,,,,,,
2015-02-10,,,,,,,,
2015-02-11,,,,,,,,
2015-02-12,,,,,,,,
2015-02-13,,,,,,,,
2015-02-17,,,,,,,,
2015-02-18,,,,,,,,
2015-02-19,,,,,,,,
2015-02-20,,,,,,,,
2015-02-23,,,,,,,,
2015-02-24,,,,,,,,
2015-02-25,,,,,,,,
2015-02-26,,,,,,,,
2015-02-27,,,,,,,,
2015-03-02,,,,,,,,
2015-03-03,,,,,,,,
2015-03-04,,,,,,,,
2015-03-05,,,,,,,,
2015-03-06,,,,,,,,
2015-03-09,,,,,,,,
2015-03-10,,,,,,,,
2015-03-11,,,,,,,,
2015-03-12,,,,,,,,
2015-03-13,,,,,,,,
2015-03-16,,,,,,,,
2015-03-17,,,,,,,,
2015-03-18,,,,,,,,
2015-03-19,,,,,,,,
2015-03-20,,,,,,,,
2015-03-23,,,,,,,,
2015-03-24,,,,,,,,
2015-03-25,,,,,,,,
2015-03-26,,,,,,,,
2015-03-27,,,,,,,,
2015-03-30,,,,,,,,
2015-03-31,,,,,,,,
2015-04-01,,,,,,,,
2015-04-02,,,,,,,,
2015-04-06,,,,,,,,
2015-04-07,,,,,,,,
2015-04-08,,,,,,,,
2015-04-09,,,,,,,,
2015-04-10,,,,,,,,
2015-04-13,,,,,,,,
2015-04-14,,,,,,,,
2015-04-15,,,,,,,,
2015-04-16,,,,,,,,
2015-04-17,,,,,,,,
2015-04-20,,,,,,,,
2015-04-21,,,,,,,,
2015-04-22,,,,,,,,
2015-04-23,,,,,,,,
2015-04-24,0.0,0.0,18.507638931274414,0.02289346605539322,,,,
2015-04-27,0.0,0.0,18.850404739379883,0.018350744619965553,,,,
2015-04-28,0.0,0.0,18.587610244750977,-0.014039142057299614,,,,
2015-04-29,3.1596477773595975e-41,0.0,18.44428825378418,-0.007740496192127466,,,,
2015-04-30,1.1627306127558683e-32,0.0,18.20951271057129,-0.012810593470931053,,,,
2015-05-01,2.923776127138431e-26,0.0,18.412281036376953,0.011073821224272251,,,,
2015-05-04,5.477781593563565e-25,0.0,18.13600730895996,-0.015118643641471863,,,,
2015-05-05,1.4767242762148533e-30,0.0,18.112770080566406,-0.0012821556301787496,,,,
2015-05-06,5.096651927465137e-35,0.0,18.21494483947754,0.005625301506370306,,,,
2015-05-07,2.717634801459156e-39,0.0,18.16575050354004,-0.002704471815377474,,,,
2015-05-08,1.6815581571897805e-44,0.0,18.2880916595459,0.0067121721804142,,,,
2015-05-11,1.5834672646870433e-43,0.0,18.16628074645996,-0.006683034356683493,,,,
2015-05-12,0.0,0.0,18.17120361328125,0.0002710690605454147,,,,
2015-05-13,0.0,0.0,18.209346771240234,0.002096821554005146,,,,
2015-05-14,0.0,0.0,18.192407608032227,-0.0009306902065873146,,,,
2015-05-15,0.0,0.0,18.290414810180664,0.005372816231101751,,,,
2015-05-18,0.0,0.0,18.194908142089844,-0.005235366523265839,,,,
2015-05-19,0.0,0.0,18.312498092651367,0.0064419894479215145,,,,
